t_index   term                     df
1         -                          8
2         --                         109
3         ---                        2
4         --samor                    1
5         -back                      12
6         -base                      3
7         -elect                     1
8         -impos                     1
9         -led                       5
10        -north                     2
11        -russia                    1
12        -russian                   4
13        -train                     4
14        -vietnam                   1
15        -vietnames                 3
16        -yemeni                    1
17        0                          9
18        0-15                       6
19        0-6                        3
20        0-for-5                    1
21        00                         2
22        000                        261
23        000-foot                   2
24        000-member                 1
25        000-mile                   1
26        000-plu                    1
27        000-seat                   5
28        000-strong                 2
29        000-ton                    2
30        000-year-old               1
31        01                         1
32        018                        1
33        02                         3
34        02111-1206                 1
35        06                         1
36        072                        3
37        08                         2
38        1                          193
39        1-0                        6
40        1-2                        5
41        1-4                        3
42        1-5                        1
43        1-6                        9
44        1-800-2-hunger             1
45        1-800-225-8550             1
46        1-800-257-7575             2
47        1-800-424-adra             1
48        1-800-521-care             1
49        1-800-535-5433             1
50        1-800-55-crwrc             1
51        1-800-554-8583             1
52        1-800-678-7255             1
53        1-800-736-3467             1
54        1-800-77-oxfam             1
55        1-800-889-7146             1
56        1-800-for-kid              1
57        1-800-help-now             2
58        1-800-lwr-lwr2             1
59        1-800-sponsor              1
60        1-888-392-0392             1
61        1-888-56-child             1
62        1-hour                     3
63        1-rank                     1
64        1-year-old                 2
65        10                         174
66        10-                        1
67        10-1                       2
68        10-20                      4
69        10-day                     1
70        10-minut                   1
71        10-month-long              1
72        10-page                    2
73        10-peopl                   1
74        10-stori                   1
75        10-year                    12
76        10-year-old                4
77        100                        89
78        100-0                      1
79        100-degre                  1
80        100-ton                    2
81        1000                       1
82        10016                      1
83        10017                      1
84        10018                      1
85        1008                       1
86        101                        3
87        101-mile                   1
88        101-mile-long              1
89        10115                      1
90        10115-0050                 1
91        10116-2247                 1
92        103                        2
93        103-3                      1
94        104                        1
95        106th                      1
96        107th                      2
97        108                        3
98        10th                       13
99        11                         83
100       11-judg                    1
101       11-member                  1
102       11-percentag               1
103       11-year-old                2
104       110                        1
105       110-degre                  1
106       111                        1
107       113-year-old               1
108       116                        2
109       116-year-old               6
110       117                        1
111       118                        43
112       118-man                    1
113       119                        1
114       1199                       1
115       11th                       8
116       12                         169
117       12-0                       1
118       12-gaug                    1
119       12-mile                    2
120       12-mile-long               2
121       12-stori                   1
122       12-strong                  1
123       12-year                    2
124       12-year-old                19
125       120                        2
126       120-member                 1
127       120-seat                   6
128       1200                       2
129       122                        1
130       124                        2
131       1244                       1
132       125                        8
133       12501                      1
134       126                        2
135       128-player                 1
136       12th                       15
137       12th-seed                  1
138       13                         107
139       13-14                      2
140       13-5                       2
141       13-day                     1
142       13-match                   1
143       13-year                    13
144       131                        7
145       132                        1
146       134                        1
147       135                        2
148       137-133                    2
149       138-page                   2
150       139-countri                1
151       13th                       9
152       13th-seed                  1
153       14                         62
154       14-7                       2
155       14-year                    3
156       14-year-old                3
157       140                        11
158       141                        2
159       143                        2
160       145-mile                   1
161       146th                      1
162       148                        3
163       14th                       2
164       14th-seed                  1
165       15                         86
166       15-16                      2
167       15-foot-high               3
168       15-hour                    5
169       15-minut                   6
170       15-month                   1
171       15-nation                  2
172       15-seed                    2
173       15-year-old                1
174       150                        42
175       151                        2
176       152                        1
177       153                        3
178       155                        2
179       15th                       5
180       15th-seed                  1
181       16                         66
182       16-inch                    1
183       16-member                  2
184       16-page                    1
185       16-year                    1
186       16-year-old                8
187       160                        4
