t_index   term                     df
1         -                          12
2         --                         216
3         ---                        2
4         --samor                    1
5         -back                      12
6         -base                      3
7         -elect                     3
8         -impos                     1
9         -led                       5
10        -north                     2
11        -russia                    1
12        -russian                   4
13        -train                     4
14        -vietnam                   1
15        -vietnames                 3
16        -yemeni                    1
17        0                          11
18        0-15                       6
19        0-6                        3
20        0-for-5                    1
21        00                         2
22        000                        508
23        000-foot                   2
24        000-member                 1
25        000-mile                   1
26        000-plu                    1
27        000-seat                   6
28        000-strong                 2
29        000-ton                    2
30        000-year-old               1
31        01                         1
32        018                        1
33        02                         3
34        02111-1206                 1
35        06                         1
36        072                        3
37        08                         2
38        1                          283
39        1-0                        6
40        1-2                        5
41        1-4                        3
42        1-5                        1
43        1-6                        9
44        1-800-2-hunger             1
45        1-800-225-8550             1
46        1-800-257-7575             2
47        1-800-424-adra             1
48        1-800-521-care             1
49        1-800-535-5433             1
50        1-800-55-crwrc             1
51        1-800-554-8583             1
52        1-800-678-7255             1
53        1-800-736-3467             1
54        1-800-77-oxfam             1
55        1-800-889-7146             1
56        1-800-for-kid              1
57        1-800-help-now             2
58        1-800-lwr-lwr2             1
59        1-800-sponsor              1
60        1-888-392-0392             1
61        1-888-56-child             1
62        1-hour                     3
63        1-rank                     1
64        1-year-old                 2
65        10                         219
66        10-                        1
67        10-1                       2
68        10-20                      4
69        10-day                     1
70        10-minut                   1
71        10-month-long              1
72        10-page                    2
73        10-peopl                   1
74        10-stori                   1
75        10-year                    12
76        10-year-old                4
77        100                        102
78        100-0                      1
79        100-degre                  1
80        100-ton                    2
81        1000                       1
82        10016                      2
83        10017                      1
84        10018                      1
85        1008                       1
86        101                        3
87        101-mile                   1
88        101-mile-long              1
89        10115                      1
90        10115-0050                 1
91        10116-2247                 1
92        103                        6
93        103-3                      1
94        104                        1
95        106th                      1
96        107th                      2
97        108                        3
98        10th                       14
99        11                         101
100       11-judg                    1
101       11-member                  1
102       11-percentag               1
103       11-year-old                2
104       110                        1
105       110-degre                  1
106       111                        1
107       113-year-old               1
108       116                        2
109       116-year-old               6
110       117                        1
111       118                        50
112       118-man                    1
113       119                        1
114       1199                       2
115       11th                       8
116       12                         207
117       12-0                       1
118       12-gaug                    1
119       12-mile                    2
120       12-mile-long               2
121       12-stori                   1
122       12-strong                  1
123       12-year                    2
124       12-year-old                20
125       120                        2
126       120-member                 1
127       120-seat                   6
128       1200                       2
129       122                        1
130       124                        2
131       1244                       1
132       125                        8
133       12501                      1
134       126                        2
135       128-player                 1
136       12th                       16
137       12th-seed                  1
138       13                         123
139       13-14                      2
140       13-5                       2
141       13-day                     1
142       13-match                   1
143       13-year                    13
144       131                        7
145       132                        1
146       134                        1
147       135                        2
148       137-133                    2
149       138-page                   2
150       139-countri                1
151       13th                       9
152       13th-seed                  1
153       14                         70
154       14-7                       2
155       14-year                    3
156       14-year-old                3
157       140                        13
158       141                        2
159       143                        2
160       145-mile                   1
161       146th                      1
162       148                        3
163       14th                       2
164       14th-seed                  1
165       15                         103
166       15-16                      2
167       15-foot-high               3
168       15-hour                    5
169       15-minut                   6
170       15-month                   1
171       15-nation                  2
172       15-seed                    2
173       15-year-old                1
174       150                        45
175       151                        2
176       152                        1
177       153                        3
178       155                        2
179       15th                       5
180       15th-seed                  1
181       16                         74
182       16-inch                    1
183       16-member                  2
184       16-page                    1
185       16-year                    1
186       16-year-old                9
187       160                        4
188       1600                       1
189       162                        3
190       163                        1
191       1640                       1
192       165                        1
193       168                        1
194       16th                       2
195       16th-seed                  1
196       17                         212
197       17-2                       1
198       17-year-old                12
199       170                        3
200       17061                      1
201       17090                      1
202       175                        1
203       176                        4
204       176-174                    1
205       177                        1
206       178                        2
207       1792                       1
208       17th                       1
209       18                         60
210       18-foot-deep               2
211       18-member                  1
212       18-month-old               5
213       18-parti                   9
214       18-year                    1
215       18-year-old                10
216       180                        2
217       1800                       1
218       181                        1
219       1819                       1
220       182                        2
221       1839                       1
222       185                        2
223       1869                       1
224       187                        1
225       1876                       1
226       188                        1
227       1881                       1
228       1888                       3
229       18th                       2
230       19                         76
231       19-minut                   1
232       19-year-old                12
233       190                        6
234       1904                       1
235       1906                       1
236       1907                       3
237       1909                       1
238       1914                       1
239       192                        1
240       1920                       2
241       1928                       5
242       193                        1
243       1930                       1
244       19303                      1
245       1931                       2
246       1932                       2
247       1933                       1
248       1937                       1
249       1941                       1
250       1944                       1
251       1945                       7
252       1947                       2
253       1948                       1
254       1950                       12
255       1953                       1
256       1954                       4
257       1956                       1
258       1957                       2
259       196                        2
260       1960                       16
261       1961                       4
262       1962                       3
263       1963                       2
264       1964                       1
265       1965                       1
266       1966                       2
267       1967                       17
268       1968                       9
269       1969                       14
270       1970                       19
271       1971                       1
272       1972                       8
273       1973                       12
274       1974                       7
275       1975                       24
276       1975-77                    1
277       1976                       6
278       1977                       9
279       1977-81                    1
280       1978                       2
281       1979                       4
282       1980                       48
283       1981                       12
284       1982                       4
285       1983                       23
286       1984                       9
287       1985                       16
288       1985-90                    2
289       1986                       14
290       1986-87                    1
291       1987                       10
292       1987-94                    1
293       1988                       13
294       1989                       23
295       1990                       73
296       1990-99                    1
297       1991                       29
298       1991-92                    1
299       1991-93                    3
300       1992                       49
301       1993                       38
302       1994                       47
303       1995                       65
304       1996                       112
305       1996-97                    3
306       1997                       39
307       1997-99                    1
308       1998                       125
309       1998-99                    1
310       1999                       85
311       19th                       1
312       1st                        1
313       2                          178
314       2-0                        5
315       2-1                        1
316       2-4                        3
317       2-6                        18
318       2-hour                     4
319       2-inch                     1
320       2-seed                     1
321       2-storey                   1
322       2-year                     3
323       2-year-old                 7
324       20                         174
325       20-foot-by-40-foot         2
326       20-minut                   1
327       20-page                    2
328       20-percentag               1
329       20-to-40-foot              1
330       20-year                    12
331       20-year-old                10
332       200                        87
333       200-300                    1
334       2000                       35
335       2001                       10
336       2002                       13
337       2003                       1
338       20036                      1
339       2004                       8
340       2005                       3
341       2006                       1
342       2008                       1
343       201                        1
344       2010                       2
345       2015                       3
346       202-857-6533               1
347       203                        4
348       2035                       1
349       204                        1
350       209                        4
351       20904                      1
352       20th                       8
353       20th-centuri               1
354       21                         22
355       21-foot                    1
356       21-gun                     2
357       21-nation                  1
358       21-year-old                1
359       210                        2
360       212-556-1927               1
361       212-557-8000               1
362       212-870-2167               1
363       212-885-0832               1
364       21203-7090                 1
365       21298-9832                 1
366       215                        5
367       215000                     1
368       216                        3
369       219                        4
370       21st                       3
371       21st-centuri               1
372       22                         57
373       22-match                   3
374       22-member                  3
375       22-year-old                11
376       220-megawatt               2
377       222                        6
378       222-209                    2
379       223                        2
380       22314                      1
381       224                        26
382       2247                       1
383       225                        2
384       22nd                       5
385       23                         65
386       23-year-old                9
387       230                        3
388       231                        1
389       232                        4
390       23261                      1
391       234                        2
392       236                        2
393       238                        4
394       23rd                       1
395       24                         95
396       24-carat                   1
397       24-citi                    1
398       24-hour                    1
399       24-year-old                10
400       240                        4
401       241                        4
402       242                        1
403       243                        1
404       245                        2
405       246                        5
406       246-day                    1
407       247                        1
408       248                        1
409       24th                       9
410       25                         93
411       25-foot                    1
