t_index   term                     df
1         aan                        1
2         aaron                      2
3         aback                      1
4         abahd                      1
5         abandon                    39
6         abat                       1
7         abc                        49
8         abcnew                     3
9         abdallah                   2
10        abdel                      3
11        abdomin                    2
12        abduct                     2
13        abdul                      16
14        abdullah                   40
15        abdurahman                 1
16        aberr                      1
17        abhad                      1
18        abhiyan                    1
19        abhorr                     2
20        abid                       8
21        abidin                     4
22        abidjan                    36
23        abijan                     1
24        abil                       32
25        abl                        105
26        ablaz                      3
27        abnorm                     1
28        aboard                     93
29        abobo                      3
30        abolish                    4
31        abomin                     1
32        abort                      7
33        abou                       1
34        abound                     4
35        about                      1
36        abovo                      1
37        abraham                    10
38        abreast                    1
39        abrego                     1
40        abroad                     52
41        abrog                      2
42        abrupt                     1
43        abruptli                   4
44        abscam                     1
45        absenc                     6
46        absent                     4
47        absente                    7
48        absentia                   3
49        absolut                    43
50        absorb                     10
51        abstain                    1
52        abstent                    1
53        absurd                     2
54        abu                        7
55        abund                      2
56        abus                       29
57        abuzaakouk                 1
58        abyan                      5
59        abyssinian                 1
60        academ                     6
61        academi                    4
62        academia                   1
63        acced                      1
64        acceler                    4
65        accent                     2
66        accentu                    2
67        accept                     124
68        access                     41
69        accid                      32
70        accident                   3
71        accommod                   11
72        accompani                  33
73        accomplic                  5
74        accomplish                 10
75        accord                     145
76        accordingli                1
77        accordion                  1
78        account                    125
79        accredit                   1
80        accumul                    2
81        accur                      14
82        accuraci                   1
83        accus                      131
84        accustom                   2
85        ace                        27
86        acerb                      2
87        achiev                     32
88        acid                       2
89        acknowledg                 55
90        acolyt                     1
91        acosta                     1
92        acquaint                   1
93        acquiesc                   1
94        acquir                     5
95        acquisit                   1
96        acquit                     5
97        acquitt                    3
98        acr                        1
99        acrimoni                   2
100       acrobat                    5
101       acronym                    1
102       across                     120
103       act                        135
104       action                     95
105       activ                      90
106       activist                   19
107       actor                      4
108       actress                    2
109       actual                     66
110       ad                         117
111       adam                       8
112       adapt                      5
113       add                        18
114       adden                      1
115       addit                      74
116       address                    64
117       adem                       1
118       aden                       169
119       adequ                      7
120       adher                      4
121       adiksa                     1
122       adjac                      4
123       adjam                      2
124       adjoin                     3
125       adjourn                    3
126       adjust                     7
127       adlai                      1
128       adm                        44
129       admen                      1
130       administ                   9
131       administr                  115
132       admir                      38
133       admiralti                  1
134       admiringli                 1
135       admiss                     2
136       admit                      40
137       ado                        2
138       adob                       1
139       adolesc                    2
140       adopt                      17
141       adorn                      1
142       adoubi                     1
143       adra                       1
144       adrain                     1
145       adrenalin                  1
146       adriat                     1
147       adrift                     4
148       adult                      10
149       advanc                     66
150       advani                     1
151       advantag                   21
152       adventist                  1
153       adventur                   2
154       advers                     2
155       adversari                  2
156       advertis                   12
157       advic                      6
158       advis                      84
159       advisor                    10
160       advisori                   2
161       advoc                      13
162       advocaci                   2
163       aegi                       5
164       aerial                     3
165       aeroflot                   1
166       affabl                     1
167       affair                     48
168       affect                     29
169       affection                  1
170       affili                     6
171       affirm                     6
172       afflict                    1
173       afford                     7
174       affront                    2
175       afghan                     17
176       afghanistan                46
177       afi                        2
178       afibia                     1
179       afield                     1
180       afir                       2
181       afl                        2
182       afloat                     13
183       afoul                      1
184       afraid                     28
185       afredo                     1
186       africa                     65
187       african                    49
188       aft                        3
189       aftehock                   1
190       aftermath                  14
191       afternoon                  64
192       aftershock                 43
193       afterward                  13
194       afundament                 1
195       agarw                      1
196       agassi                     47
197       agbayani                   1
198       age                        42
199       agenc                      117
200       agenda                     14
201       agent                      83
202       ager                       8
203       agglomer                   1
204       aggrav                     12
205       aggress                    24
206       agil                       1
207       agit                       1
208       ago                        207
209       agon                       6
210       agoni                      3
211       agonizingli                1
212       agre                       77
213       agreement                  49
214       agricultur                 15
215       agustin                    1
216       aha                        1
217       ahead                      53
218       ahemdabad                  1
219       ahm                        15
220       ahmad                      1
221       ahmadabad                  2
222       ahmar                      1
223       ahmedabad                  20
224       ahold                      1
225       ahren                      1
226       aid                        158
227       aida                       2
228       ail                        5
229       ailment                    1
230       aim                        35
231       ainst                      1
232       air                        175
233       aircraft                   27
234       airdrop                    2
235       airfield                   1
236       airforc                    1
237       airlift                    4
238       airlin                     6
239       airlock                    1
240       airman                     1
241       airmen                     11
242       airplan                    7
243       airport                    49
244       airstrik                   3
245       airtim                     2
246       airwav                     1
247       airway                     3
248       aisl                       3
249       ajax                       1
250       ajnar                      3
251       ajw                        1
252       akaka                      2
253       akan                       2
254       akin                       3
255       akishio                    1
256       akouedo                    1
257       ala                        5
258       alabama                    5
259       alain                      1
260       alami                      1
261       alamoudi                   1
262       alan                       5
263       alarm                      19
264       alasan                     1
265       alaska                     3
266       alaskan                    1
267       alassan                    27
268       albani                     1
269       albania                    1
270       albanian                   18
271       albeit                     4
272       albert                     1
273       alberto                    66
274       albright                   47
275       album                      1
276       alce                       3
277       alcohol                    5
278       alehandr                   1
279       alejandro                  14
280       aleksa                     1
281       aleksandar                 6
282       aler                       1
283       alert                      62
284       alessio                    4
285       alex                       10
286       alexa                      2
287       alexand                    9
288       alexandria                 1
289       alexei                     1
290       alexeyev                   1
291       alexsand                   1
292       alfonso                    1
293       alfr                       2
294       alfredo                    1
295       algeria                    3
296       algerian                   5
297       ali                        44
298       alia                       2
299       alibi                      1
300       alien                      3
301       alight                     1
302       align                      5
303       alija                      1
304       alik                       9
305       alisan                     2
306       alisha                     1
307       aliv                       84
308       allafrica                  1
309       allah                      1
310       allahabad                  2
311       allahbad                   1
312       allan                      1
313       alleg                      72
314       allegedli                  23
315       allegi                     1
316       allen                      22
317       allentown                  1
318       alley                      2
319       alleyway                   3
320       alli                       86
321       allianc                    10
322       alliz                      1
323       allot                      1
324       allow                      133
325       allud                      2
326       allus                      5
327       alma                       1
328       almagor                    1
329       almost                     118
330       alon                       39
331       along                      118
332       alongsid                   39
333       alou                       1
334       alpha                      2
335       alphabet                   3
336       alpin                      1
337       alreadi                    164
338       also                       477
339       alter                      8
340       altern                     20
341       although                   83
342       altitud                    1
343       altogeth                   4
344       aluminum                   2
345       alun                       6
346       alway                      93
347       amad                       3
348       amanda                     17
349       amarillo                   2
350       amartej                    3
351       amaru                      4
352       amass                      4
353       amateur                    2
354       amaz                       10
355       amazingli                  1
356       ambassador                 47
357       ambersag                   1
358       ambigu                     1
359       ambit                      8
360       ambiti                     2
361       ambival                    2
362       ambul                      11
363       ambush                     1
364       ameli                      6
365       amend                      2
366       amerasian                  1
367       america                    128
368       american                   353
369       americorp                  1
370       amh                        1
371       ami                        2
372       amiabl                     2
373       amic                       1
374       amid                       51
375       amidship                   2
376       amin                       1
377       amit                       1
378       amman                      2
379       ammo                       1
380       ammonium                   1
381       ammunit                    22
382       amnesia                    2
383       amnesti                    2
384       among                      182
385       amongst                    2
386       amount                     30
387       amp                        5
388       amphibi                    3
389       ampl                       2
390       ampli                      1
391       amplifi                    1
392       amput                      12
393       ana                        7
394       anacostia                  1
395       analges                    1
396       analog                     1
397       analysi                    9
398       analyst                    38
399       analyz                     5
400       anarch                     2
401       anathema                   1
402       anatoli                    8
403       anca                       4
404       ancestor                   3
405       ancestr                    25
406       ancestri                   1
407       anchor                     8
408       anchorag                   2
409       anchorman                  3
410       ancient                    4
411       andean                     6
412       anderson                   4
413       andi                       5
414       andjelkov                  1
415       andoslavia                 1
416       andr                       48
417       andrea                     14
418       andrei                     2
419       andrew                     15
420       andrik                     1
421       anew                       7
422       angel                      13
423       anger                      46
424       angl                       12
425       anglican                   1
426       angri                      27
427       angrili                    4
428       anguish                    8
429       anim                       2
430       animist                    2
431       animos                     11
432       anjana                     1
433       anjar                      6
434       anjay                      1
435       ank                        2
436       ankl                       9
437       ann                        11
438       anna                       21
439       annabel                    1
440       annacon                    1
441       annan                      13
442       anniversari                15
443       announc                    164
444       annoy                      2
445       annual                     18
446       annul                      11
447       anomali                    1
448       anonym                     63
449       anoth                      263
450       answer                     51
451       antagon                    1
452       antasiaovich               1
453       antenna                    2
454       anthem                     6
455       anthoni                    27
456       anthropologist             2
457       anti                       85
458       antiballist                1
459       antibiot                   5
460       anticip                    17
461       anticlimact                1
462       antonia                    6
463       antonin                    1
464       antonio                    26
465       anwar                      4
466       anxieti                    3
467       anxiou                     11
468       anxious                    2
469       anybodi                    14
470       anymor                     9
471       anyon                      58
472       anyth                      94
473       anytim                     4
474       anyway                     13
475       anywher                    18
476       aon                        1
477       apart                      69
478       ape                        1
479       apec                       4
480       apex                       1
481       apolit                     1
482       apolog                     18
483       appal                      1
484       appallingli                1
485       appar                      193
486       apparatu                   7
487       appeal                     95
488       appear                     196
489       appel                      1
490       appetit                    2
491       appl                       3
492       applaud                    10
493       applaus                    8
